Kod klawisza;Czas dobowy;Czas miedzy poprzednim a aktualnym kliknieciem;Pozycja  myszy x;Pozycja  myszy y;Stan Caps lock;Stan Num lock;Stan Shift;Stan Control;Stan P Alt;Aktualny fokus
65;19:09:19;-1;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:19;27milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
65;19:09:20;147milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:20;112milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
83;19:09:20;155milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:20;76milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
83;19:09:20;173milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:20;92milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
88;19:09:20;184milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:20;127milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
77;19:09:21;218milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
88;19:09:21;152milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
77;19:09:21;112milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
77;19:09:21;171milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
88;19:09:21;107milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
78;19:09:21;108milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
67;19:09:21;170milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
78;19:09:22;60milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:22;188milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
73;19:09:22;27milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:22;219milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:22;172milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
83;19:09:22;64milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
65;19:09:22;203milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
76;19:09:22;10milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
76;19:09:23;144milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
75;19:09:23;183milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
87;19:09:23;110milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
79;19:09:23;126milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
73;19:09:23;29milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
73;19:09:23;130milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
85;19:09:23;88milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
85;19:09:23;142milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
83;19:09:24;154milisekund;520;238;False;False;False;False;False;C:\Users\Dawid\OneDrive\Pulpit\Programy\Kaylogger\ConsoleApp1\bin\Debug\netcoreapp3.1\Kaylogger.exe
